gene,WD_t0_KO_VS_wWD_t0_wt_FC
Mmp14,1.0958866260592701
Slc4a10,2.21776997614775
Tnfaip3,1.0071319129643599
Ece2,1.31772583193221
Rabggtb,-0.826107415659869
Slc11a1,1.28540661175911
Heg1,1.09561175259726
Cmklr1,1.4915975148704197
Flrt2,1.5273804176697299
Pcolce,1.4098612993356898
Ace,1.5022040632506202
Hccs,-1.14123340472941
Rab7b,1.02599392951479
Adamts12,1.51703967591021
Mfap2,1.42528257945828
Ap3s1,-1.09051418992631
Mir8114,10.671058746281401
Ugt1a6a,1.7757706194986103
Ctsc,0.877138838985525
Csf1r,1.72818710449209
Fcgr2b,1.26708266591521
Cacybp,-0.8077318270717901
Ptges3,-0.881634859090205
Dse,0.8218930444500491
Mlh1,-1.59968335270747
Masp1,3.4589374276140803
Ndufaf4,-1.10711448936499
Igfbp5,1.3986855051418798
Rpl3l,6.1461093055826295
Xiap,-0.7646748069282059
Was,1.42870498331319
Adamts2,1.69641447779978
Cxcl9,-1.4714790137683897
Clec11a,1.63495405128857
Lrrn2,2.01163580112912
Adamtsl1,1.2515324821395801
Fbln1,2.53023037925549
Clip2,0.9753546342402699
Plat,1.29071968117933
Timm9,-1.21022205182077
Gria4,1.2226880153931399
Col1a2,1.2743661297168
Lipg,-1.76285728061724
Pdgfb,-0.946849648448029
Trim56,0.9264691401513241
Hand2,2.8568090138848596
Fam101b,-1.28549526376177
Alb,-6.34954672361609
Olfml1,1.29657733227869
Cd300lg,-1.25950171426542
Cfh,1.81965744926776
Sirpa,0.893293951207578
Hexb,0.8612494644765329
Gng11,-0.9632327691764009
Spi1,1.47448353070992
Dcn,1.62514887298752
Arap1,0.939519209106638
Il6ra,1.23219157535792
3632451O06Rik,1.71739465899497
H2-Q8,1.8414668895294601
Dennd2a,1.0000053422669102
Cmpk1,-0.9179389044725379
Dclk3,3.45770289680587
Nucb2,0.8902733891997241
Gfpt2,1.4513042663626499
Nhsl1,1.1981193389292701
Entpd2,1.5120445119267902
Padi4,2.61883630023517
Klkb1,-3.1160478963806404
H2-DMa,1.3839414415880702
Ahsa2,-0.9101475509049181
Cd248,1.8998478420111498
Pzp,-4.52234462407972
Sned1,1.56621163729783
Ptafr,1.6252282926960802
Hspa4l,-1.27622295242248
Prss35,2.55547660875213
Mug1,-8.11667084222661
Saa3,4.53411587283449
2310030G06Rik,-2.7809061858896102
Apoc1,-3.60646261721737
Plxna4,1.2649020495433703
Tmem176b,1.14493552855909
Wdr6,0.99701053766396
Pdgfra,1.9463800194868002
Aff3,1.25386052386418
P2rx7,0.9767223111557171
Serping1,1.67955492520513
Thsd7a,1.58303892755629
Slc25a17,-1.0300781999339301
Ccnl1,-0.827458955963957
Fyb,1.18808470740303
Htra3,1.20457584856459
Sox7,-0.9315446655451709
Angpt1,1.29063462539083
Gdf10,1.5555538359694299
