gene,WD_t1_KO_VS_WD_t1_DKO_FC
Nudt19,1.0365631165093
Galns,-2.30431065316717
Cdk6,-0.8856055721852181
Anxa4,-1.57997043643398
Ppt1,-0.7485780751149301
Rspo2,-3.69411639278956
Pqlc3,-1.64485210027807
Wfs1,-1.3285062763024298
Rab32,-1.05096121672566
Myrip,0.803810256490543
Tshz2,0.7144013153507891
Hbegf,-1.2808419558944
Tnfrsf1b,-1.8412663945939898
Axin2,1.08591740370463
Src,-1.34458160919266
Mmp27,-3.16132672350302
C1qtnf6,-1.17489532609752
Apoc3,3.49461558521618
Skap2,-0.797645861634177
Slc39a11,-1.38469998532302
Folr2,-0.9309014875881949
Nceh1,-2.7616935358790298
Pi4k2a,-1.02469116994084
Cybb,-1.88064665613031
Atp6v0a1,-0.94739440548856
Nxpe4,-3.3136811781295603
Esrrb,2.57268251243585
Msr1,-3.2184200018557103
Fam129b,-2.06392119499976
Rab29,-1.0428763663347
Wisp2,-2.23222747609123
Pigs,-0.746858887820843
Nfkbiz,-1.05133970319188
Clic1,-1.04209405756138
Stac2,-3.36466058051381
Xylt2,-0.732289607185352
Hebp1,-0.9808922594607009
Pkp1,-4.06299339722118
Itga11,-1.9238604525871201
Matk,-2.20745343990759
Fat3,-3.5331446322326703
Tnfsf13,-1.51419886513303
Apobec1,-2.18215583364066
Mcoln3,-4.78096573210067
4930404N11Rik,-1.9366836463278503
Ctsl,-3.4738570503739603
Cox17,1.03076867465484
Arpc4,-0.7591079604604009
Slamf9,-1.98006544125839
Ckb,-1.1291993051670401
Crip1,-1.1693706960263701
Myom3,1.80013413572705
Pik3ap1,-1.7293721718883701
Tmod4,3.1203331373194803
Sertad4,-1.1438968862291101
Ch25h,-1.8125353217050901
Cd244,-2.42535183337214
Bid,-1.46441511827284
Scn1b,-0.8904905149683959
Ltbp2,-2.24229000987272
Nsf,-0.7954499427842779
Clec5a,-2.33427985160349
Cd80,-2.02890599531796
Ywhah,-0.7328597442897309
Grn,-1.33094313616696
Prodh,1.27057968195956
