gene,WD_t1_KO_VS_WD_t1_wt_FC
Lgalsl,-0.7741065417636591
Runx3,2.20759050618944
Pdlim7,-1.23363810993341
Ppa1,1.53375076449096
Syk,1.89613650954858
S1pr1,1.4291870529678703
Sept6,-1.39675461843461
Dact1,-0.846605812509193
Csf2rb,2.4072385390410895
Cmip,0.8654469327848839
Cntfr,1.2464538427282401
Icam1,0.968566904070046
Mbd1,1.11200114581351
Agt,2.8472133381665294
Arhgap27,1.36690581492828
Parp14,0.7357792243637271
Gimap4,1.40861000529488
Lbp,1.2569003793242
Pydc3,2.3646775595808998
Fam212b,-1.0859367333754302
Hmgn3,-1.2966919659653502
Mcf2l,1.7283214946946899
Myo1f,1.7622138099256297
Apba3,0.9927823122921209
Gm44504,2.55964548901721
Vsir,1.1565293615392
Mc5r,4.5988004569138
Notch4,1.69908982343866
Mylip,1.06088469714135
Nuak1,-0.994002408629428
Dstn,-1.77806993964425
Klhl30,-1.3173041057313202
Lyve1,1.2798562305757
Srpk3,-1.09638648334867
Ddi2,0.837319999262777
Mafb,1.5486555690750101
Bace1,-1.02669824175608
Sbno2,0.8161705528370771
Ppard,0.734130122129659
Csf2ra,1.35877557933512
Tbx3,1.37860407674742
Slc25a22,0.9676083680868309
Pls3,-1.6217516660904898
Hsd3b7,0.7290450106927819
Fcgr1,1.58338152976141
Lpp,-1.56432438369271
Kcnip4,-1.74680250668044
Apod,1.44669604983928
Cp,0.7853387672455229
Pltp,0.7950597834899721
Slc27a2,2.26258466205944
Car4,1.29864541868827
Fes,1.22513501012557
Unc45b,1.2017780729943501
Adap2,1.4693562051405702
Mgat5b,-2.3980053245763098
Fgfr3,1.02360361957832
Olfr224,-1.66266063899939
D8Ertd82e,1.65394217780736
Shank3,1.4099548708031002
Fut10,-1.13979563333481
Kcnh2,-1.4169522363964
Dnajb5,-1.1077929399406499
Stab1,0.809130608470528
Lrg1,1.7076642354386597
Adcy3,1.5283421371546497
Cdc34,0.9172048999962591
Phtf2,-0.911014891629393
Fpr2,3.3443697660328002
Rasgef1b,1.35821119803025
Zc2hc1a,-1.1820088394785802
Ddx26b,-1.07757330376549
Slc8a2,-1.73445881930192
Tmem136,-1.4264524232571298
Rbp7,2.20515784720885
Sc5d,-1.0205154729348
Tpst2,1.02646537452211
C3,1.7137778974124398
Smim5,-1.9903840720302999
Sema3c,-1.22309066580908
Bex4,-2.02783537476585
Cald1,-1.4509446606587197
Tcf15,1.5423841244793899
B3galt1,-1.58159695315541
Abi3,1.0575550558134
Map3k6,1.71575678538605
Pam,-1.2569024416217098
Mcam,-1.33708781286977
Parvb,1.4363598488169802
Adamts6,-1.17375558350156
Slfn1,2.33612300265346
Pmepa1,-0.9209630579891129
Tnfrsf9,3.6782921257896604
Efhc2,-1.84367820691103
Pawr,-1.3088950700236202
Slc9a3r2,1.0457688659061
